County,Area,Date
Baringo,158427,1975
Bomet,11757026,1975
Bungoma,2165888,1975
Busia,3027433,1975
Elgeyo-Marakwet,2739590,1975
Embu,4516764,1975
Garissa,2980815,1975
Homa Bay,1582066,1975
Isiolo,106973,1975
Kajiado,2893511,1975
Kakamega,1269018,1975
Kericho,1941294,1975
Kiambu,22289946,1975
Kilifi,8594046,1975
Kirinyaga,6705369,1975
Kisii,4296088,1975
Kisumu,5021187,1975
Kitui,7041029,1975
Kwale,2794101,1975
Laikipia,131944,1975
Lamu,614923,1975
Machakos,1831617,1975
Makueni,1011454,1975
Mandera,2355191,1975
Marsabit,2042125,1975
Meru,14121023,1975
Migori,5114927,1975
Mombasa,16879857,1975
Murang'a,8097866,1975
Nairobi,17400364,1975
Nandi,474335,1975
Narok,1874261,1975
Nyamira,1978895,1975
Nyandarua,993246,1975
Nyeri,8481503,1975
Samburu,384684,1975
Siaya,1771624,1975
Taita Taveta,1707269,1975
Tana River,193939,1975
Tharaka-Nithi,3457165,1975
Trans Nzoia,409397,1975
Turkana,1431514,1975
Uasin Gishu,577883,1975
Vihiga,593695,1975
Wajir,785471,1975
West Pokot,607397,1975
Nakuru,2450261,1975
Baringo,176230,1980
Bomet,11950278,1980
Bungoma,2193483,1980
Busia,3050822,1980
Elgeyo-Marakwet,2846136,1980
Embu,4720271,1980
Garissa,3006787,1980
Homa Bay,1628725,1980
Isiolo,170681,1980
Kajiado,3053971,1980
Kakamega,1301797,1980
Kericho,2077829,1980
Kiambu,22680347,1980
Kilifi,8710832,1980
Kirinyaga,7168916,1980
Kisii,4332202,1980
Kisumu,5111910,1980
Kitui,7675856,1980
Kwale,2887409,1980
Laikipia,177057,1980
Lamu,642360,1980
Machakos,1988450,1980
Makueni,1135645,1980
Mandera,2387789,1980
Marsabit,2053068,1980
Meru,14610358,1980
Migori,5289095,1980
Mombasa,17287326,1980
Murang'a,8379771,1980
Nairobi,18715334,1980
Nandi,489000,1980
Narok,1980492,1980
Nyamira,2054336,1980
Nyandarua,1025559,1980
Nyeri,8607379,1980
Samburu,391418,1980
Siaya,1785112,1980
Taita Taveta,1752194,1980
Tana River,198958,1980
Tharaka-Nithi,3539581,1980
Trans Nzoia,422034,1980
Turkana,1447928,1980
Uasin Gishu,831557,1980
Vihiga,604350,1980
Wajir,794414,1980
West Pokot,650384,1980
Nakuru,3120877,1980
Baringo,217504,1985
Bomet,12316230,1985
Bungoma,2262986,1985
Busia,3089643,1985
Elgeyo-Marakwet,3080047,1985
Embu,5058675,1985
Garissa,3039299,1985
Homa Bay,1713640,1985
Isiolo,271917,1985
Kajiado,3297777,1985
Kakamega,1353983,1985
Kericho,2323531,1985
Kiambu,23238053,1985
Kilifi,8927319,1985
Kirinyaga,8025453,1985
Kisii,4383993,1985
Kisumu,5225470,1985
Kitui,8970627,1985
Kwale,3046105,1985
Laikipia,232544,1985
Lamu,685458,1985
Machakos,2292648,1985
Makueni,1437022,1985
Mandera,2431072,1985
Marsabit,2078302,1985
Meru,15410505,1985
Migori,5626896,1985
Mombasa,17687726,1985
Murang'a,8894404,1985
Nairobi,20427139,1985
Nandi,530195,1985
Narok,2219749,1985
Nyamira,2209503,1985
Nyandarua,1073745,1985
Nyeri,8775865,1985
Samburu,405478,1985
Siaya,1808017,1985
Taita Taveta,1833477,1985
Tana River,211525,1985
Tharaka-Nithi,3685226,1985
Trans Nzoia,445955,1985
Turkana,1482898,1985
Uasin Gishu,1272134,1985
Vihiga,625584,1985
Wajir,809657,1985
West Pokot,740120,1985
Nakuru,4143960,1985
Kenya,209319056,1985
Baringo,271746,1990
Bomet,12879810,1990
Bungoma,2353831,1990
Busia,3146951,1990
Elgeyo-Marakwet,3424779,1990
Embu,5519982,1990
Garissa,3077860,1990
Homa Bay,1823982,1990
Isiolo,407147,1990
Kajiado,3610641,1990
Kakamega,1426230,1990
Kericho,2699883,1990
Kiambu,23940449,1990
Kilifi,9228247,1990
Kirinyaga,9199672,1990
Kisii,4460273,1990
Kisumu,5364641,1990
Kitui,10913247,1990
Kwale,3289745,1990
Laikipia,333727,1990
Lamu,739217,1990
Machakos,2650996,1990
Makueni,1896716,1990
Mandera,2485859,1990
Marsabit,2115635,1990
Meru,16472577,1990
Migori,6123628,1990
Mombasa,18106151,1990
Murang'a,9635379,1990
Nairobi,22336099,1990
Nandi,607152,1990
Narok,2557927,1990
Nyamira,2412381,1990
Nyandarua,1160770,1990
Nyeri,8995811,1990
Samburu,431135,1990
Siaya,1835467,1990
Taita Taveta,1932964,1990
Tana River,228162,1990
Tharaka-Nithi,3889974,1990
